Accommodate	Accomodate
Acquire	Aquire
Aficionado	Aficianado
Aisle	Isle
Amateur	Amatuer
Apparent	Apparant
Arctic	Artic
Argument	Arguement
Atheist	Athiest
Believe	Belive
Bizarre	Bizzare
Calendar	Calender
Caribbean	Carribean
Cemetery	Cemetary
Chief	Cheif
Colleague	Collegue
Collectible	Collectable
Columnist	Columist
Committee	Commitee
Committed	Comitted
Consensus	Concensus
Definitely	Definately
Dilemma	Dilemna
Disappoint	Dissapoint
Embarrass	Embarras
Embarrassed	Embarassed
Environment	Enviroment
Exhilarate	Exilerate
Fascinate	Facinate
Fluorescent	Florescent
Foreign	Foriegn
Forty	Fourty
Friend	Freind
Gauge	Gage
Government	Goverment
Grateful	Greatful
Happened	Happend
Harass	Harras
Hors d'oeuvre	Horderves
Humorous	Humourous
Immediately	Immediatly
Independent	Independant
Jewellery	Jewelry
Judgment	Judgement
Knowledge	Knowlege
Leisure	Liesure
Liaison	Liason
Lightning	Lightening
Lose	Loose
Maintenance	Maintanance
Manoeuvre	Manuever
Medieval	Medival
Memento	Momento
Millennium	Millenium
Miniature	Minature
Mischievous	Mischevious
Misspell	Mispell
Nauseous	Nausious
Necessary	Neccessary
Occasion	Ocassion
Occurred	Occured
Parallel	Parralel
Pavillion	Pavilion
Perseverance	Perseverence
Philippines	Phillipines
Playwright	Playwrite
Privilege	Privelege
Publicly	Publically
Questionnaire	Questionaire
Receive	Recieve
Recommend	Recomend
Resistance	Resistence
Responsibility	Responsability
Rhythm	Rythm
Sacrilegious	Sacreligious
Schedule	Shedule
Sense	Sence
Separate	Seperate
Siege	Seige
Strength	Strenght
Succinct	Succint
Supersede	Supercede
Tattoo	Tatoo
Tendency	Tendancy
Threshold	Threshhold
Tolerance	Tollerance
Truly	Truely
Unforeseen	Unforseen
Unnecessary	Unecessary
Until	Untill
Vacuum	Vacum
Vicious	Viscious
Weather	Whether
Whether	Wether
Which	Wich
Weird	Wierd
Wherever	Whereever
Writing	Writting
Yacht	Yatch
Zealous	Zealos
